HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Chile,Sweden,2019,0,2,2
United States,Thailand,2019,13,0,13
Sweden,Thailand,2019,5,1,6
United States,Chile,2019,3,0,3
Sweden,United States,2019,0,2,2
Thailand,Chile,2019,0,2,2
Germany,Nigeria,2019,3,0,3
Norway,Australia,2019,1,1,2
England,Cameroon,2019,3,0,3
France,Brazil,2019,2,1,3
Spain,United States,2019,1,2,3
Sweden,Canada,2019,1,0,1
Italy,China,2019,2,0,2
Netherlands,Japan,2019,2,1,3
Norway,England,2019,0,3,3
France,United States,2019,1,2,3
Italy,Netherlands,2019,0,2,2
Germany,Sweden,2019,1,2,3
England,United States,2019,1,2,3
Netherlands,Sweden,2019,1,0,1
England,Sweden,2019,1,2,3
United States,Netherlands,2019,2,0,2
